"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1546","Open Facebook","chromium","Tue Apr 14 22:22:13 IST 2026","passed","Tue Apr 14 22:22:15 IST 2026","","parallel_01.spec.js","",""
"","7242","Locator screenshot","chromium","Tue Apr 14 22:22:15 IST 2026","passed","Tue Apr 14 22:22:22 IST 2026","","screenshotInPW.spec.js","",""
"","3893","upload File","chromium","Tue Apr 14 22:22:20 IST 2026","passed","Tue Apr 14 22:22:24 IST 2026","","uploadFileInPW.spec.js","",""
"","1077","Open Amazon","chromium","Tue Apr 14 22:22:12 IST 2026","passed","Tue Apr 14 22:22:13 IST 2026","","parallel_01.spec.js","",""
"","23298","interactWithMultipleElement","chromium","Tue Apr 14 22:22:08 IST 2026","passed","Tue Apr 14 22:22:31 IST 2026","","InteractWithMultipleElement.spec.js","",""
"","4615","locators","chromium","Tue Apr 14 22:22:09 IST 2026","passed","Tue Apr 14 22:22:13 IST 2026","","locators.spec.js","",""
"","1051","Open Amazon","chromium","Tue Apr 14 22:22:13 IST 2026","passed","Tue Apr 14 22:22:14 IST 2026","","parallel_02.spec.js","",""
"","633","get started link","chromium","Tue Apr 14 22:22:07 IST 2026","passed","Tue Apr 14 22:22:08 IST 2026","","examples.spec.js","",""
"","9130","getelementByPlaceHolder","chromium","Tue Apr 14 22:22:00 IST 2026","passed","Tue Apr 14 22:22:10 IST 2026","","buildInLocators.spec.js","",""
"","411","has title","chromium","Tue Apr 14 22:22:06 IST 2026","passed","Tue Apr 14 22:22:07 IST 2026","","example.spec.js","",""
"","2166","fullPage screenshot","chromium","Tue Apr 14 22:22:14 IST 2026","passed","Tue Apr 14 22:22:17 IST 2026","","screenshotInPW.spec.js","",""
"","4029","Handle confirmation alert","chromium","Tue Apr 14 22:22:00 IST 2026","passed","Tue Apr 14 22:22:04 IST 2026","","alertsinPW.spec.js","",""
"","550","get started link","chromium","Tue Apr 14 22:22:07 IST 2026","passed","Tue Apr 14 22:22:07 IST 2026","","example.spec.js","",""
"","6545","soft assertion","chromium","Tue Apr 14 22:22:17 IST 2026","failed","Tue Apr 14 22:22:23 IST 2026","","soft_hard_assertion.spec.js","",""
"","1501","Assertion in PW","chromium","Tue Apr 14 22:22:00 IST 2026","failed","Tue Apr 14 22:22:02 IST 2026","","assertions.spec.js","",""
"","1118","Open Google","chromium","Tue Apr 14 22:22:13 IST 2026","passed","Tue Apr 14 22:22:14 IST 2026","","parallel_01.spec.js","",""
"","6335","hard","chromium","Tue Apr 14 22:22:16 IST 2026","failed","Tue Apr 14 22:22:22 IST 2026","","soft_hard_assertion.spec.js","",""
"","1147","Open Amazon","chromium","Tue Apr 14 22:22:22 IST 2026","passed","Tue Apr 14 22:22:23 IST 2026","","webkit.spec.js","",""
"","5430","Handling a simple alert","chromium","Tue Apr 14 22:22:00 IST 2026","passed","Tue Apr 14 22:22:06 IST 2026","","alertsinPW.spec.js","",""
"","3668","loginScenarioWithXpath","chromium","Tue Apr 14 22:22:09 IST 2026","passed","Tue Apr 14 22:22:13 IST 2026","","locatorsXpath.spec.js","",""
"","2338","test","chromium","Tue Apr 14 22:22:05 IST 2026","passed","Tue Apr 14 22:22:07 IST 2026","","codegenScript.spec.js","",""
"","1168","Open Amazon","chromium","Tue Apr 14 22:22:08 IST 2026","passed","Tue Apr 14 22:22:09 IST 2026","","firefox.spec.js","",""
"","13881","handling dropdown","chromium","Tue Apr 14 22:22:06 IST 2026","passed","Tue Apr 14 22:22:20 IST 2026","","dropdowninpw.spec.js","",""
"","1976","pageview screenshot","chromium","Tue Apr 14 22:22:14 IST 2026","passed","Tue Apr 14 22:22:16 IST 2026","","screenshotInPW.spec.js","",""
"","6203","getElementByRole","chromium","Tue Apr 14 22:22:03 IST 2026","passed","Tue Apr 14 22:22:09 IST 2026","","buildInLocators.spec.js","",""
"","3943","getelementByAltText","chromium","Tue Apr 14 22:22:00 IST 2026","passed","Tue Apr 14 22:22:04 IST 2026","","buildInLocators.spec.js","",""
"","508","has title","chromium","Tue Apr 14 22:22:07 IST 2026","passed","Tue Apr 14 22:22:08 IST 2026","","examples.spec.js","",""
"","1198","myFirstScript","chromium","Tue Apr 14 22:22:10 IST 2026","passed","Tue Apr 14 22:22:11 IST 2026","","MyfirstAutoamtionscript.spec.js","",""
"","1144","Open Amazon","chromium","Tue Apr 14 22:22:05 IST 2026","passed","Tue Apr 14 22:22:06 IST 2026","","chrome.spec.js","",""
"","979","test","chromium","Tue Apr 14 22:22:11 IST 2026","passed","Tue Apr 14 22:22:12 IST 2026","","myTest.spec.js","",""
